step,time,base_positions,base_velocities,perturbed_positions,perturbed_velocities,position_torus_l1,positions_exactly_equal,complete_states_equal
170,17/2,1/20|3/20|9/20|13/20,2/5|3/5|-2/5|-1/5,3/4|9/20|9/20|13/20,3/5|-2/5|2/5|-1/5,3/5,False,False
171,171/20,7/100|9/50|43/100|16/25,2/5|3/5|-2/5|-1/5,39/50|43/100|47/100|16/25,3/5|-2/5|2/5|-1/5,29/50,False,False
172,43/5,9/100|21/100|41/100|63/100,2/5|3/5|-2/5|-1/5,81/100|41/100|49/100|63/100,3/5|-2/5|2/5|-1/5,14/25,False,False
173,173/20,11/100|6/25|39/100|31/50,2/5|3/5|-2/5|-1/5,21/25|39/100|51/100|31/50,3/5|-2/5|2/5|-1/5,27/50,False,False
174,87/10,13/100|27/100|37/100|61/100,2/5|3/5|-2/5|-1/5,87/100|37/100|53/100|61/100,3/5|-2/5|2/5|-1/5,13/25,False,False
175,35/4,3/20|3/10|7/20|3/5,2/5|3/5|-2/5|-1/5,9/10|7/20|11/20|3/5,3/5|-2/5|2/5|-1/5,1/2,False,False
176,44/5,17/100|33/100|33/100|59/100,2/5|-2/5|3/5|-1/5,93/100|33/100|57/100|59/100,3/5|-2/5|2/5|-1/5,12/25,False,False
177,177/20,19/100|31/100|9/25|29/50,2/5|-2/5|3/5|-1/5,24/25|31/100|29/50|59/100,3/5|-2/5|-1/5|2/5,23/50,False,False
178,89/10,21/100|29/100|39/100|57/100,2/5|-2/5|3/5|-1/5,99/100|29/100|57/100|61/100,3/5|-2/5|-1/5|2/5,11/25,False,False
179,179/20,23/100|27/100|21/50|14/25,2/5|-2/5|3/5|-1/5,1/50|27/100|14/25|63/100,3/5|-2/5|-1/5|2/5,21/50,False,False
180,9,1/4|1/4|9/20|11/20,-2/5|2/5|3/5|-1/5,1/20|1/4|11/20|13/20,3/5|-2/5|-1/5|2/5,2/5,False,False
